Program,Course_Code,Total_no_of_Cheld,Total_absences,first_term,mid_term,final,Total_grade
BSAg,BOT 205,42,1,B,A,B+,B
BSAg,BOT 205,42,0,B,B-,B,B
BSAg,BOT 205,42,3,B,B+,B,B
BSAg,BOT 205,42,0,B+,B+,B+,B+
BSAg,BOT 205,42,2,B+,B+,B+,B
BSAg,BOT 205,42,2,B+,A,B+,B+
BSAg,BOT 205,42,0,B,B+,B+,B
BSAg,BOT 205,42,0,A,B+,B+,B+
BSAg,BOT 205,42,0,B+,A,B+,B
BSAg,BOT 205,42,5,B,B+,B,B
BSAg,BOT 205,42,0,B+,A,A,B+
BSAg,BOT 205,42,4,B,B+,B+,B
BSAg,BOT 205,42,1,B,B-,B,B+
BSAg,BOT 205,42,10,B,B,B,B
BSAg,BOT 205,42,1,B,B+,B,B-
BSAG,BOT 205,42,0,B,B+,B,B-
BSAg,BOT 205,42,5,B-,A,B,B
BSAg,BOT 205,42,1,B,B,B,B
BSAg,BOT 205,42,1,B,B,B+,B+
BSAg,BOT 205,42,0,B,B+,B+,B
BSAg,BOT 205,42,1,B-,B+,B,B
BSAg,BOT 205,42,2,A,A,B+,B
BSAg,BOT 205,42,8,C+,C+,B-,B
BSAg,BOT 205,42,13,B+,B-,B,B+
BSAg,BOT 205,42,2,B,B+,B,B
BSAg,BOT 205,42,11,B-,B-,B-,B-
BSAg,BOT 205,42,2,B,B+,B,B
BSAg,BOT 205,42,5,B-,C,B-,B-
BSAg,BOT 205,42,3,B,A,B+,B-
BSAg,BOT 205,42,28,B-,C-,C,B-
BSAg,BOT 205,42,7,B-,B,B,B
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,14,0,B+,B,B+,B
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B-
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B-
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAG,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B-
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B-
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B
BSAg,BOT 206,14,2,B+,B,B-,A
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,14,2,B+,B+,B+,B
BSAg,BOT 206,,,,,,C+
BSAg,BOT 206,,,,,,A
BSAg,BOT 206,,,,,,B-
BSAg,BOT 206,,,,,,B
BBA,BUS 101,38,4,A,A,A,A
BBA,BUS 101,38,7,C-,C-,C,C
BBA,BUS 101,38,7,B-,B,B,B+
BBA,BUS 101,38,7,B-,D+,B-,B-
BBA,BUS 101,38,2,B,D,B,B-
BBA,BUS 101,38,1,B-,B,B+,B
BSAg,BUS 101,38,17,B-,B,B,B
BSAg,BUS 101,38,0,B+,B,B+,B
BBA,BUS 101,38,0,B,B-,A,A
BSAg,BUS 101,38,0,A,A,A,A
BSAg,BUS 101,38,0,B-,C,B+,C+
BBA,BUS 101,38,9,B+,C,B,B-
BSAg,BUS 101,38,4,B,B-,B,C+
BSAg,BUS 101,38,1,C+,C+,B,B-
BSAg,BUS 101,38,5,C,B-,B,B
BBA,BUS 101,38,12,C,D,C,B-
BSAg,BUS 101,38,1,B+,B+,A,A
BSAg,BUS 101,38,1,B-,C,B+,B
BSAg,BUS 101,38,5,C+,B-,B,B+
BSAg,BUS 101,38,8,B,A,B,B-
BSAg,BUS 101,38,4,B+,A,A,A
BBA,BUS 101,38,12,D,F,D+,D+
BSAg,BUS 101,38,0,B,B-,A,A
BATHM,BUS 101,38,0,B-,B-,B,C+
BATHM,BUS 101,38,1,B+,B+,A,A
BBA,BUS 101,38,15,C+,D+,C,C-
BSAg,BUS 101,38,2,A,A,A,A
BSAg,BUS 101,38,3,C,B,B+,B+
BBA,BUS 101,38,8,D+,F,C-,C+
BSAg,BUS 101,38,1,C,B+,B+,B
BSAg,BUS 101,38,4,B,C+,B,B
BSAg,BUS 101,38,0,B-,A,A,B+
BBA,BUS 101,38,0,B-,C,B,B-
BSAg,BUS 101,38,1,B,C+,B,B-
BSAg,BUS 101,38,14,B-,C+,B-,B-
BBA,BUS 101,38,3,C+,F,C-,D
BSAg,BUS 101,38,1,B-,C+,B+,B
BBA,BUS 101,38,28,F,F,F,C-
BATHM,BUS 101,38,6,B-,C-,B-,B+
BBA,BUS 101,38,4,A,B-,B+,B
BBA,BUS 101,38,0,A,B+,A,A
BSAg,BUS 101,38,2,B,B-,B+,B-
BSAg,BUS 101,38,4,B,B-,B,C+
BBA,BUS 101,38,6,C-,C-,C+,B+
BSAg,BUS 101,38,3,C+,C-,B,B-
BBA,BUS 101,38,15,F,F,F,D+
BBA,BUS 101,38,2,B,D+,B-,B-
BBA,BUS 101,38,8,D,F,D,F
BBA,BUS 101,38,0,A,B+,A,A
BBA,BUS 101,38,0,B,B-,B+,B
BBA,BUS 101,38,7,C+,C-,C+,B-
BBA,BUS 101,38,5,F,D+,D+,C-
BSAg,BUS 101,38,7,C+,B,B-,B-
BSAg,BUS 101,38,22,F,C-,C-,C+
BBA,BUS 101,34,34,F,F,F,F
BBA,BUS 101,34,22,F,F,F,F
BSAg,BUS 101,34,0,B+,B+,B+,B
BSAg,BUS 101,34,0,A,A,A,C+
BCSE,PSY 105,33,4,A,B,A,A
BBA,BUS 101,34,32,F,F,F,F
BBA,BUS 101,34,4,F,F,F,F
BBA,BUS 101,34,2,D,D+,C+,C-
BSAg,BUS 101,34,6,D+,B+,B-,B-
BSAg,BUS 101,34,2,C+,B,B-,C+
BBA,BUS 101,34,4,C-,C-,B-,C
BATHM,BUS 101,34,4,C+,D,C+,B
BBA,BUS 101,34,19,F,F,F,F
BBA,BUS 101,34,15,C+,D,C,C
BSAg,BUS 101,34,6,F,D+,F,F
BBA,BUS 101,43,4,B,B,B+,B-
BBA,BUS 101,43,23,D,B+,C-,D+
BBA,BUS 101,43,14,F,C+,D,F
BBA,BUS 101,43,7,F,C,D+,F
BBA,BUS 101,43,8,F,C,D+,D
BBA,BUS 101,43,10,F,D+,F,F
BBA,BUS 101,43,11,F,C,D,F
BBA,BUS 101,43,3,D,B-,C-,D+
BBA,BUS 101,43,3,D+,B,C-,D
BBA,BUS 101,43,3,C-,B-,C+,C+
BBA,BUS 101,43,0,C+,A,B,B-
BBA,BUS 101,43,13,F,C+,D,F
BBA,BUS 101,43,5,F,B-,C-,F
BBA,BUS 101,43,1,C+,C+,B-,B
BBA,BUS 101,43,19,D+,B-,C-,C
BBA,BUS 101,43,10,F,B-,D+,F
BBA,BUS 101,43,0,B-,B+,B,B-
BBA,BUS 101,43,5,F,B+,C-,D
BBA,BUS 101,43,9,C+,B,B-,B-
BBA,BUS 101,43,3,B-,B,B,B
BBA,BUS 101,43,4,F,C+,D,F
BBA,BUS 101,43,7,C-,B,C+,C+
BBA,BUS 101,43,2,C-,C,C+,D+
BBA,BUS 101,43,1,F,B-,C-,D
BATHM,BUS 101,43,43,F,F,F,F
BBA,BUS 101,43,12,F,C+,D,F
BBA,BUS 101,43,11,F,B-,D+,D
BBA,BUS 101,43,9,D+,B,C,C+
BBA,BUS 101,43,7,D+,C+,C-,F
BBA,BUS 101,43,0,F,B-,C-,F
BBA,BUS 101,43,1,B-,B,B,B-
BBA,BUS 101,43,1,D,B-,C-,C-
BBA,BUS 101,43,1,C+,B,C,F
BBA,BUS 101,43,4,D,C,C-,C-
BBA,BUS 101,43,10,F,C-,D,F
BBA,BUS 101,43,12,F,B-,C-,D+
BBA,BUS 101,43,43,F,F,F,F
BAEcon,BUS 101,43,8,B-,B,B-,C+
BATHM,BUS 101,43,10,D,C+,C,C-
BBA,BUS 101,43,7,D+,B,C-,F
BBA,BUS 101,43,0,F,B,C,D+
BBA,BUS 101,43,5,B,B+,B-,D+
BBA,BUS 101,43,0,D,C-,C-,D
BBA,BUS 101,43,1,F,C+,C-,D
BBA,BUS 101,43,7,D+,B,C,F
BBA,BUS 101,43,5,B-,B,B-,D+
BATHM,BUS 101,43,0,A,A,A,B-
BBA,BUS 101,43,4,F,B-,D+,F
BSAg,BUS 101,43,11,C-,B+,C+,D+
BBA,BUS 201,23,4,B-,C,B-,C
BBA,BUS 201,23,1,B-,C+,B,B-
BCSE,BUS 201,23,8,C,B-,C,D+
BCSE,BUS 201,23,1,B-,C+,B-,D+
BBA,BUS 201,23,8,B,B-,B-,C
BBA,BUS 201,23,13,B,B-,B-,B
BBA,BUS 201,23,9,B+,B,B+,A
BBA,BUS 201,23,1,B+,B,A,B
BBA,BUS 201,23,2,C+,C,B-,B-
BBA,BUS 201,23,2,B,C,B,B-
BBA,BUS 201,23,3,C,C,C+,D+
BCSE,BUS 201,23,23,F,F,F,F
BBA,BUS 201,23,9,B+,C+,B-,B-
BBA,BUS 201,23,6,C+,B-,C+,D+
BCSE,BUS 201,23,3,B+,B-,B,B-
BCSE,BUS 201,23,0,B+,C+,B,C+
BCSE,BUS 201,23,1,B-,C+,B,C+
BBA,BUS 201,23,2,B-,C,C+,D
BBA,BUS 201,23,0,B,C-,B,C+
BBA,BUS 201,23,17,D+,C,C-,C
BBA,BUS 201,23,15,C-,C,C-,C-
BBA,BUS 201,23,10,B-,C+,B-,B
BBA,BUS 201,23,19,C,F,D+,D
BBA,BUS 201,23,5,B,C,C+,C
BBA,BUS 201,23,9,B+,B,B,B
BCSE,BUS 201,23,1,A,C+,A,C+
BBA,BUS 201,23,2,B-,B-,B,C+
BCSE,BUS 201,23,4,B,B,C+,D+
BBA,BUS 201,23,11,B,C,C,F
BAEcon,BUS 201,23,12,B-,D,C,D+
BCSE,BUS 201,23,0,B,C,B+,B
BBA,BUS 201,23,17,B-,C,C,C-
BBA,BUS 201,23,4,B-,C+,B-,C-
BBA,BUS 201,23,1,B+,B-,B,C+
BBA,BUS 201,23,0,B,B-,B+,C+
BCSE,BUS 201,23,0,B-,F,C+,D+
BCSE,BUS 201,23,4,B,B-,B,B-
BBA,BUS 201,23,23,F,F,F,F
BCSE,BUS 201,35,1,B-,A,A,B+
BCSE,BUS 201,35,7,C,B,B-,C+
BCSE,BUS 201,35,1,B-,A,B,C+
BCSE,BUS 201,35,6,B+,B+,B,C
BCSE,BUS 201,35,5,B,B+,B+,B+
BBA,BUS 201,35,8,B,A,A,A
BCSE,BUS 201,35,1,B,A,A,B-
BCSE,BUS 201,35,5,B-,A,B,B-
BCSE,BUS 201,35,5,B+,B,B,C+
BCSE,BUS 201,35,4,C,B,B-,C
BCSE,BUS 201,35,4,B,B,B,B-
BCSE,BUS 201,35,5,B-,B+,B-,B-
BCSE,BUS 201,35,6,C+,A,B-,C
BCSE,BUS 201,35,12,B-,B,B,B
BBA,BUS 201,35,10,B-,A,B,B-
BCSE,BUS 201,35,5,C-,B-,C+,C-
BBA,BUS 201,35,8,C,A,B-,C-
BBA,BUS 201,35,1,C+,B-,B-,C
BCSE,BUS 201,35,10,B,B,B+,B+
BCSE,BUS 201,35,3,B,A,A,B
BCSE,BUS 201,35,5,B-,B,B+,B-
BBA,BUS 201,35,18,C-,B+,C+,D
BBA,BUS 201,35,21,C,B,B-,B+
BCSE,BUS 201,35,1,B-,B,B+,B
BCSE,BUS 201,35,13,B,B,B+,B+
BCSE,BUS 201,35,4,B-,B,B+,B-
BBA,BUS 201,35,6,C-,B+,B-,C+
BBA,BUS 201,35,9,B,A,B,B-
BBA,BUS 201,35,4,C+,B+,B-,C-
BBA,BUS 201,35,9,C+,B-,B-,C+
BBA,BUS 201,35,2,B+,A,A,B-
BCSE,BUS 201,35,3,C,B,B-,B-
BCSE,BUS 201,35,5,B,B,B,B
BCSE,BUS 201,32,2,B+,A,A,A
BCSE,BUS 201,32,1,A,A,A,A
BBA,BUS 201,32,2,B+,A,B+,C
BCSE,BUS 201,32,3,A,B,A,A
BCSE,BUS 201,32,3,C-,C-,C+,C
BCSE,BUS 201,32,11,D,D+,D+,F
BCSE,BUS 201,32,0,F,D,C-,D+
BCSE,BUS 201,32,5,C-,D,C-,D
BCSE,BUS 201,32,3,C-,D+,C,C-
BCSE,BUS 201,32,28,F,D,F,F
BBA,BUS 201,32,6,F,C-,D,F
BCSE,BUS 201,32,5,C-,D,C,C
BCSE,BUS 201,32,4,D,F,C-,C-
BCSE,BUS 201,32,7,D,F,D,F
BCSE,BUS 201,32,25,F,F,F,F
BBA,MKT 301,39,4,C,B+,B-,C+
MBA,BUS 201,47,6,A,B+,A,A
MBA,BUS 201,47,9,B,B+,B+,B+
BBA,BUS 203,42,0,A,C+,A,B+
BBA,BUS 203,42,0,B+,C+,B+,B+
BBA,BUS 203,42,5,A,C,B+,B+
BBA,BUS 203,42,6,A,B-,B+,B+
BBA,BUS 203,42,9,B-,C-,B-,B-
BBA,BUS 203,42,12,B,C+,B-,B-
BBA,BUS 203,42,3,A,C-,B+,B+
BBA,BUS 203,42,7,B+,B-,B+,A
BBA,BUS 203,42,7,A,B-,B,B+
BBA,BUS 203,42,5,A,C,A,A
BBA,BUS 203,42,11,B+,B-,B+,B+
BBA,BUS 203,42,1,A,A,A,A
BBA,BUS 203,42,7,B-,F,B-,B
BBA,BUS 203,42,4,B,B-,B-,C+
BBA,BUS 203,42,22,B-,C-,B-,B-
BBA,BUS 203,42,0,A,B+,B+,B
BBA,BUS 203,42,2,A,C,A,A
BBA,BUS 203,42,0,A,B,A,A
BBA,BUS 203,42,3,A,B-,A,A
BBA,BUS 203,42,2,B+,C-,B,B-
BBA,BUS 203,42,9,B-,C+,B-,C+
BBA,BUS 203,42,4,C-,C-,C,B-
BBA,BUS 203,42,18,C-,C-,C+,B-
BBA,BUS 203,42,0,B,B-,B,B-
BBA,BUS 203,42,14,B-,C,B,B+
BBA,BUS 203,42,13,B-,C-,C+,C-
BBA,BUS 203,42,8,A,C-,B-,C+
BBA,BUS 203,42,5,A,B-,A,B+
BBA,BUS 203,42,6,B+,C,B+,A
BBA,BUS 203,42,16,B,C-,B-,C+
BBA,BUS 203,42,2,B-,C+,B,B+
BBA,BUS 203,42,3,A,C+,B+,B+
BBA,BUS 203,42,16,B+,C,B,B
BBA,BUS 203,42,0,A,A,A,A
BBA,BUS 203,42,12,C-,C,C,B-
BBA,BUS 203,42,2,A,B-,A,A
BBA,BUS 203,42,1,A,B,A,A
BBA,BUS 203,42,12,B+,B-,B-,C+
BBA,BUS 203,42,22,B,C-,C+,B-
BBA,BUS 203,42,2,A,C+,A,A
BBA,BUS 203,42,7,B+,C+,B,B-
BBA,BUS 203,42,0,B+,B,A,B+
BBA,BUS 203,42,28,C,C-,C,C+
BBA,BUS 301,44,7,D,C-,C,D
BBA,BUS 301,44,6,C-,C+,B-,C
BBA,BUS 301,44,6,A,A,A,B+
BBA,BUS 301,44,7,A,A,A,B+
BBA,BUS 301,44,6,B+,B,B+,B
BBA,BUS 301,44,1,A,A,A,A
BBA,BUS 301,44,7,C,B-,C,C
BBA,BUS 301,38,2,B,D+,B-,B-
BBA,BUS 301,38,5,C+,B-,B-,B-
BBA,BUS 301,38,10,A,A,A,B
BBA,BUS 301,38,13,A,B-,B,C+
BBA,BUS 301,38,7,B-,B,B,B-
BBA,BUS 301,38,6,B-,C+,C+,C-
BBA,BUS 301,38,5,C+,B,B,C+
BBA,BUS 301,38,17,D+,C+,C+,B-
BBA,BUS 301,38,36,F,C,F,F
BBA,BUS 301,38,11,A,B-,B,B-
BBA,BUS 301,38,14,B,B,B-,C-
BBA,BUS 301,38,5,B,C,B,B-
BBA,BUS 301,38,9,B,B,B-,D+
BBA,BUS 301,38,4,A,A,A,B-
BBA,BUS 301,38,11,B,C-,C+,B-
BBA,BUS 301,38,14,C+,B,B-,C-
MBA,BUS 501,38,7,B+,C+,B-,C+
MBA,BUS 501,38,1,A,A,A,A
MBA,BUS 501,38,5,A,C+,B+,B
MBA,BUS 501,38,6,B+,B-,B,C
MBA,BUS 501,38,4,B-,C+,B-,B-
MBA,BUS 502,33,0,A,A,A,A
MBA,BUS 502,33,0,D+,A,B,C-
MBA,BUS 502,33,13,F,F,D+,C
MBA,BUS 502,33,0,B+,B+,A,B
MBA,BUS 502,33,0,B+,B+,A,B+
MBA,BUS 502,33,2,B+,A,A,B+
MBA,BUS 502,33,5,B+,B+,A,B
MBA,BUS 502,33,0,A,A,A,C+
MBA,BUS 502,33,3,B+,A,A,B+
MBA,BUS 502,33,2,B+,A,A,A
MBA,BUS 502,33,3,B,B-,B+,B+
MBA,BUS 502,33,1,B,B-,B,C-
MBA,BUS 502,33,8,B-,B+,B,C+
MBA,BUS 503,39,0,B-,B,B,B
MBA,BUS 503,39,3,A,B+,A,A
MBA,BUS 503,39,1,A,A,A,B-
MBA,BUS 503,39,6,B+,B,B,C+
MBA,BUS 503,39,5,B+,B+,B+,C+
MBA,BUS 503,39,10,B,B-,B,B-
BSCE,CEN 160,23,1,A,B+,A,A
BSCE,CEN 160,23,0,C,B+,A,A
BSCE,CEN 160,23,0,B+,B+,A,A
BSCE,CEN 160,23,1,C,B+,A,A
BSCE,CEN 160,23,2,B-,B,A,B+
BSCE,CEN 160,23,3,B,B,B+,A
BSCE,CEN 160,23,0,B,A,A,B
BSCE,CEN 160,23,0,B,B+,A,B
BSCE,CEN 160,23,0,B+,A,A,A
BSCE,CEN 160,23,0,A,B+,A,C+
BSCE,CEN 160,23,3,B,B,B+,B+
BSCE,CEN 160,23,0,C,B,A,B
BSCE,CEN 160,23,1,B,B,A,B+
BSCE,CEN 160,23,0,B,B+,A,A
BSCE,CEN 160,23,0,B,B,A,B
BSCE,CEN 160,23,1,C-,B+,A,B
BSCE,CEN 160,23,0,B+,B+,A,B+
BSCE,CEN 160,23,0,B,B+,A,B+
BSCE,CEN 160,23,0,B-,B,B+,B-
BSCE,CEN 160,23,1,B+,B+,A,B
BSCE,CEN 160,23,0,A,B+,A,A
BSCE,CEN 160,23,0,B-,B,A,B+
BSCE,CEN 160,23,0,A,B+,A,B+
BSCE,CEN 160,23,0,B+,A,A,B+
BSCE,CEN 160,23,0,B-,B,A,B+
BSCE,CEN 160,23,0,B-,B-,A,B
BSCE,CEN 160,23,4,A,A,A,B+
BSCE,CEN 160,23,4,B,B,B,B
BSCE,CEN 160,23,3,C-,B+,A,B+
BSCE,CEN 160,23,1,B,B,A,B
BSCE,CEN 160,23,0,B-,B-,A,B+
BSCE,CEN 160,23,3,B+,B+,B+,B+
BSCE,CEN 160,23,0,C+,B-,B+,B-
BSCE,CEN 160,23,2,B+,A,A,A
BSCE,CEN 160,23,1,B-,B,A,B
BSCE,CEN 160,23,2,C+,B-,B+,B
BSCE,CEN 160,23,1,B+,B+,A,B
BSCE,CEN 160,23,0,A,B+,A,B
BSCE,CEN 160,23,0,A,A,A,B+
BSCE,CEN 160,23,0,B,B+,A,B+
BSCE,CEN 160,23,3,B-,B,B+,B-
BSCE,CEN 160,23,1,A,B+,A,B
BSCE,CEN 160,23,3,B+,B-,B+,B
BSCE,CEN 160,23,0,A,B,A,B
BSCE,CEN 160,23,0,B+,A,A,B
BSCE,CEN 160,23,0,A,B+,A,B
BSCE,CEN 160,23,1,A,B+,A,B+
BSCE,CEN 160,23,0,B+,B+,A,A
BSCE,CEN 160,23,0,B,B,A,A
BSCE,CEN 160,23,1,B,B-,B+,B+
BSCE,CEN 160,23,0,B,B-,B+,C+
BSCE,CEN 160,23,4,C-,B+,B+,B-
BSCE,CEN 160,23,1,B+,B+,A,A
BSCE,CEN 160,23,0,B+,B+,A,B+
BSCE,CEN 160,23,3,B-,B-,B,B-
BSCE,CEN 160,23,1,A,B,A,B
BSCE,CEN 160,23,0,B-,B-,B+,C+
BSCE,CEN 160,23,0,A,B+,A,B
BSCE,CEN 160,23,2,B-,B+,A,B
BSCE,CEN 160,23,0,B+,B+,A,B+
BSCE,CEN 160,25,0,B-,B+,A,B+
BSCE,CEN 160,25,3,B-,B-,B,B-
BSCE,CEN 160,25,5,C-,B,B,B-
BSCE,CEN 160,25,0,A,A,A,A
BSCE,CEN 160,25,0,B-,B+,A,C+
BSCE,CEN 160,25,1,C,B,B,C+
BSCE,CEN 160,25,0,A,B+,A,B+
BSCE,CEN 160,25,12,,F,F,B-
BSCE,CEN 160,25,0,B,B+,A,B
BSCE,CEN 160,25,0,A,B+,A,D
BSCE,CEN 160,25,0,C,B,A,B
BSCE,CEN 160,25,4,B,B+,B+,A
BSCE,CEN 160,25,0,B+,B,A,B+
BSCE,CEN 160,25,2,B-,B+,B+,B
BSCE,CEN 160,25,0,A,A,A,B+
BSCE,CEN 160,25,1,B-,B+,A,B+
BSCE,CEN 160,25,0,A,B+,A,A
BSCE,CEN 160,25,0,C,B,B+,B-
BSCE,CEN 160,25,0,B-,A,A,B+
BSCE,CEN 160,25,0,B,B+,A,B-
BSCE,CEN 160,25,5,C+,B+,B+,B
BSCE,CEN 160,25,1,C+,B,B+,B
BSCE,CEN 160,25,0,B-,B,A,B
BSCE,CEN 160,25,0,B+,B+,A,A
BSCE,CEN 160,25,0,B-,B+,A,B+
BSCE,CEN 160,25,0,B+,A,A,A
BSCE,CEN 160,25,0,B,A,A,B+
BSCE,CEN 160,25,0,A,A,A,A
BSCE,CEN 160,25,0,A,A,A,A
BSCE,CEN 160,25,2,C+,B,B+,B-
BSCE,CEN 160,25,2,C,B-,B-,C+
BSCE,CEN 160,25,1,B,B+,A,B+
BSCE,CEN 160,25,0,B-,B+,A,B+
BSCE,CEN 160,25,12,C,A,B,B
BSCE,CEN 160,24,0,A,B+,A,A
BSCE,CEN 160,24,1,B+,B+,A,C-
BSCE,CEN 160,24,1,A,B+,C+,C
BSCE,CEN 160,24,2,A,B+,A,B-
BSCE,CEN 160,24,1,A,B,A,B-
BSCE,CEN 160,24,2,B-,B,B+,C
BSCE,CEN 160,24,2,B+,B-,B+,B-
BSCE,CEN 160,24,0,C-,B-,B+,B-
BSCE,CEN 160,24,5,,F,F,B+
BSCE,CEN 160,24,1,B,B+,A,B+
BSCE,CEN 160,24,2,A,B,A,B-
BSCE,CEN 160,24,2,A,B,B+,C+
BSCE,CEN 160,24,2,B+,A,A,B
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,2,C+,B,A,A
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,1,A,B,A,B+
BSCE,CEN 160,24,1,B+,B+,A,B
BSCE,CEN 160,24,1,B+,B+,A,B-
BSCE,CEN 160,24,1,B+,A,A,C+
BSCE,CEN 160,24,0,B+,B-,B+,A
BSCE,CEN 160,24,0,B+,B,A,A
BSCE,CEN 160,24,1,B,B+,A,C+
BSCE,CEN 160,24,0,B-,B+,A,B+
BSCE,CEN 160,24,1,C-,B+,B+,C-
BSCE,CEN 160,24,1,B-,A,A,B+
BSCE,CEN 160,24,3,C+,C+,B,C+
BSCE,CEN 160,24,0,C,B-,B+,C+
BSCE,CEN 160,24,0,B-,B+,A,C+
BSCE,CEN 160,24,1,B,B,A,A
BSCE,CEN 160,24,0,A,B,A,B-
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,2,B,B+,A,B+
BSCE,CEN 160,24,0,A,B-,A,B
BSCE,CEN 160,24,0,A,B,A,B
BSCE,CEN 160,24,0,A,A,A,A
BSCE,CEN 160,24,1,B-,B,B+,B-
BSCE,CEN 160,24,3,B-,B-,B+,B+
BSCE,CEN 160,24,0,B,B,A,B+
BSCE,CEN 160,24,1,A,A,A,A
BSCE,CEN 160,24,1,A,B,A,B+
BSCE,CEN 160,24,0,A,B+,A,A
BSCE,CEN 160,24,0,B,B+,B+,A
BSCE,CEN 160,24,0,B+,A,A,B
BSCE,CEN 180,,,,,,
BSCE,CEN 180,,,,,,
BSCE,CEN 180,,,,,,
BSCE,CEN 180,,,,,,
BSCE,CEN 207,25,0,B+,B+,A,B-
BSCE,CEN 207,25,0,B+,A,A,B+
BSCE,CEN 207,25,1,C,A,B+,B
BSCE,CEN 207,25,1,A,A,A,B+
BSCE,CEN 207,25,0,A,B-,A,B
BSCE,CEN 207,25,0,A,A,A,A
BSCE,CEN 207,25,2,A,A,A,A
BSCE,CEN 207,25,0,A,A,A,B
BSCE,CEN 207,25,0,B,A,A,B-
BSCE,CEN 207,25,0,A,A,A,B
BSCE,CEN 207,25,2,B+,A,A,B-
BSCE,CEN 207,25,0,A,A,A,C
BSCE,CEN 207,25,0,A,A,A,A
BSCE,CEN 207,25,0,A,A,A,B+
BSCE,CEN 207,25,0,A,A,A,B-
BSCE,CEN 207,25,4,C+,B,B+,B-
BSCE,CEN 207,25,1,A,A,A,C+
BSCE,CEN 207,25,0,B+,A,A,B
BSCE,CEN 207,25,0,A,A,A,B-
BSCE,CEN 207,25,0,B+,A,A,B+
BSCE,CEN 207,25,7,C-,B-,B-,C-
BSCE,CEN 207,25,1,D+,B-,C+,C-
BSCE,CEN 207,25,9,F,B,B-,C
BSCE,CEN 207,25,0,B,B,B+,B-
BSCE,CEN 207,25,10,C,B-,B-,C-
BSCE,CEN 207,25,5,D+,B-,B-,C+
BSCE,CEN 207,27,0,B+,A,A,A
BSCE,CEN 207,27,0,A,A,A,B
BSCE,CEN 207,27,0,A,A,A,A
BSCE,CEN 207,27,4,A,A,A,B
BSCE,CEN 207,27,0,B+,A,A,A
BSCE,CEN 207,27,0,A,A,A,A
BSCE,CEN 207,27,2,A,A,A,A
BSCE,CEN 207,27,0,A,A,A,A
BSCE,CEN 207,27,1,B+,A,B+,C
BSCE,CEN 207,27,0,A,A,A,A
BSCE,CEN 207,27,0,A,A,A,A
BSCE,CEN 207,27,2,B-,A,B+,C
BSCE,CEN 207,27,13,B,B,B-,C-
BSCE,CEN 207,27,4,C+,B-,B-,C-
BSCE,CEN 207,27,3,B+,A,A,B
BSCE,CEN 207,17,0,B,A,A,B
BSCE,CEN 207,17,2,C+,D+,C+,C-
BSCE,CEN 207,17,0,B,A,A,B-
BSCE,CEN 207,17,0,B,C,A,B+
BSCE,CEN 207,17,0,B+,A,A,B+
BSCE,CEN 207,17,0,B+,A,A,B+
BSCE,CEN 207,17,2,B,B-,B+,B+
BSCE,CEN 207,17,2,D+,C,B-,B-
BSCE,CEN 207,17,0,B+,C-,B+,B
BSCE,CEN 207,17,2,B-,C,B-,C
BSCE,CEN 207,17,0,C,C-,B-,C
BSCE,CEN 207,17,2,A,A,A,A
BSCE,CEN 207,17,0,B-,A,A,B+
BSCE,CEN 207,17,4,C,C,B-,C
BSCE,CEN 207,17,0,B+,A,A,B+
BSCE,CEN 207,17,0,A,A,A,B+
BSCE,CEN 207,17,0,A,A,A,B
BSCE,CEN 208,,,,,,
BSCE,CEN 208,,,,,,
BSCE,CEN 208,,,,,,
BSCE,CEN 208,,,,,,
BSCE,CEN 208,,,,,,
